"MacroTrends Data Download"
"GOOGL - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2004-08-19,2.484,2.5845,2.3834,2.492,22184467
2004-08-20,2.5204,2.7091,2.496,2.69,11342802
2004-08-23,2.7529,2.8184,2.7085,2.7171,9068620
2004-08-24,2.7643,2.7717,2.5723,2.6046,7573986
2004-08-25,2.6069,2.6824,2.58,2.6327,4564369
2004-08-26,2.6106,2.6811,2.5994,2.6801,3524324
2004-08-27,2.6851,2.6977,2.625,2.6364,3085664
2004-08-30,2.62,2.62,2.5336,2.5336,2581644
2004-08-31,2.5413,2.5758,2.5373,2.5425,2444937
2004-09-01,2.5508,2.5575,2.4755,2.4899,4539436
2004-09-02,2.4611,2.5426,2.4574,2.5212,7510196
2004-09-03,2.5072,2.5269,2.4668,2.4839,2559365
2004-09-07,2.5088,2.5333,2.474,2.5229,2904730
2004-09-08,2.5021,2.5589,2.4961,2.5408,2476535
2004-09-09,2.5458,2.551,2.5085,2.5411,2017627
2004-09-10,2.5234,2.6465,2.5159,2.616,4321081
2004-09-13,2.6545,2.6925,2.6441,2.6699,3896440
2004-09-14,2.6744,2.7817,2.6523,2.769,5380668
2004-09-15,2.7459,2.8371,2.737,2.7817,5321756
2004-09-16,2.7901,2.8761,2.773,2.8306,4602776
2004-09-17,2.8418,2.918,2.8201,2.918,4705409
2004-09-20,2.9046,3.0201,2.9002,2.9645,5279824
2004-09-21,2.9853,2.9908,2.9185,2.9267,3590725
2004-09-22,2.917,2.9721,2.9011,2.9401,3765875
2004-09-23,2.9516,3.0458,2.9064,3.0008,4240412
2004-09-24,3.0045,3.0823,2.9745,2.9762,4532418
2004-09-27,2.9695,3.0023,2.9258,2.9372,3510276
2004-09-28,3.0065,3.1642,2.9856,3.1508,8410061
2004-09-29,3.1426,3.3535,3.1351,3.2556,15159025
2004-09-30,3.2342,3.2859,3.2039,3.2189,6834150
2004-10-01,3.2446,3.334,3.2014,3.2928,7513247
2004-10-04,3.3733,3.3994,3.3288,3.3544,6482714
2004-10-05,3.3445,3.4406,3.2844,3.4366,7443116
2004-10-06,3.4193,3.4386,3.3778,3.4046,6647161
2004-10-07,3.3917,3.4742,3.3915,3.4486,7011808
2004-10-08,3.4455,3.4691,3.4031,3.4207,5499112
2004-10-11,3.4029,3.4488,3.3244,3.3594,5205111
2004-10-12,3.3402,3.4177,3.3132,3.4125,5814205
2004-10-13,3.5596,3.5653,3.4791,3.4995,9820100
2004-10-14,3.5025,3.5362,3.4414,3.5268,5188377
2004-10-15,3.6001,3.6137,3.5256,3.5792,6554634
2004-10-18,3.5566,3.7056,3.5072,3.7046,6973187
2004-10-19,3.7379,3.7851,3.6596,3.6743,8996007
2004-10-20,3.6743,3.7005,3.4672,3.4893,11292146
2004-10-21,3.576,3.7287,3.5174,3.7101,14532119
2004-10-22,4.2302,4.4748,4.0752,4.2826,36625597
2004-10-25,4.3782,4.829,4.2856,4.6544,32519048
2004-10-26,4.6307,4.7846,4.4706,4.5153,22140793
2004-10-27,4.5275,4.7071,4.5146,4.6189,13258063
2004-10-28,4.6352,4.828,4.6097,4.8009,14735383
2004-10-29,4.9265,4.966,4.7338,4.7348,21004019
2004-11-01,4.8059,4.9095,4.7505,4.8688,12135754
2004-11-02,4.934,4.9487,4.8019,4.8399,11263404
2004-11-03,4.9223,5.007,4.7376,4.7604,13785870
2004-11-04,4.6755,4.7289,4.5538,4.5873,14328985
2004-11-05,4.5203,4.5277,4.1862,4.2061,19686839
2004-11-08,4.2453,4.3573,4.2073,4.2855,11113581
2004-11-09,4.324,4.3513,4.1047,4.1899,11030035
2004-11-10,4.2389,4.2848,4.1311,4.1691,10566103
2004-11-11,4.2006,4.5637,4.1619,4.5456,14874246
